Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Benthic attribute,Growth form,Normal count,Pale count,0-20% bleached count,20-50% bleached count,50-80% bleached count,80-100% bleached count,Recently dead count,Observation notes
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Acropora,,140,4,2,3,0,7,2,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Astreopora,,3,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Montipora,,54,0,2,2,0,1,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Goniastrea,,19,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Pocillopora,,12,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Favites,,32,1,1,0,0,2,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Lobophyllia,,7,1,1,0,0,2,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Pavona,,24,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Porites,Massive,9,1,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Galaxea,,10,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Leptoria,,3,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Echinophyllia,,7,0,0,0,0,0,0,
