Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Quadrat number,Hard coral (% cover),Soft coral (% cover),Macroalgae (% cover),Observation notes,Number of quadrats,Average Hard Coral (% cover),Average Soft Coral (% cover),Average Macroalgae (% cover)
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,1,20,70,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,2,80,5,5,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,3,30,40,5,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,4,35,20,5,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,5,25,50,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,6,35,55,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,7,80,20,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,8,75,20,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,9,80,10,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,10,55,20,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,11,80,15,0,,18,50.3,28.1,0.8
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,12,65,15,0,,18,50.3,28.1,0.8
