id,created on,updated on,updated by,status,fishattribute ptr,name,genus,biomass constant a,biomass constant b,biomass constant c,vulnerability,maximum length (cm),trophic level,max length type,group size,trophic group,functional group,climate score,notes
8f9d614e-3ba8-49dd-8003-593a3616fd75,2018-10-12 15:22:10.249495+00:00,2018-10-12 15:22:10.254205+00:00,,90,Abalistes filamentosus,filamentosus,Abalistes,0.025700,2.940000,1.000000,41.00,32.50,3.40,standard length,solitary,invertivore-mobile,macro-invertivore,,
de2e64a0-d7f4-41bf-b2be-4b2b09cfca98,2018-04-04 19:03:59.427910+00:00,2018-10-12 15:21:30.748571+00:00,,90,Abalistes stellaris,stellaris,Abalistes,0.045615,2.729864,1.000000,44.84,60.00,3.85,total length,solitary,invertivore-mobile,macro-invertivore,,
fbd62f38-739e-455c-af72-1702c04cd291,2018-04-04 19:03:59.446277+00:00,2018-10-12 15:21:30.767045+00:00,,90,Abalistes stellatus,stellatus,Abalistes,0.045615,2.729864,1.000000,44.84,60.00,3.40,total length,solitary,invertivore-mobile,macro-invertivore,,A. stellaris
84ecbb6e-ff45-4ab0-b05d-bb3a35846409,2018-04-04 19:04:00.242782+00:00,2018-10-12 15:21:31.299000+00:00,,90,Ablennes hians,hians,Ablennes,0.000360,3.322000,0.968054,39.61,140.00,4.50,total length,medium group,piscivore,piscivore,,
020588c8-9310-4b14-81fb-a997576d90f8,2018-04-04 19:04:33.829564+00:00,2018-10-12 15:21:59.604576+00:00,,90,Abudefduf abdominalis,abdominalis,Abudefduf,0.036900,3.130000,0.865052,35.77,30.00,3.02,total length,medium group,planktivore,zooplanktivore,,
869760e4-1f16-49e8-a70e-209e1073adf0,2018-04-04 19:04:33.847236+00:00,2018-10-12 15:21:59.622863+00:00,,90,Abudefduf bengalensis,bengalensis,Abudefduf,0.024550,3.010000,1.000000,28.25,17.00,3.08,total length,medium group,planktivore,zooplanktivore,,genus bodyshape
f7a3b852-0e4d-4997-8a3e-ce770b30c2d7,2018-04-04 19:04:33.866733+00:00,2018-10-12 15:21:59.641215+00:00,,90,Abudefduf concolor,concolor,Abudefduf,0.024550,3.010000,1.000000,29.65,19.00,2.68,total length,small group,omnivore,zooplanktivore,,genus bodyshape
41256781-8020-4250-889b-cd1e3a261ff2,2018-04-04 19:04:33.885718+00:00,2018-10-12 15:21:59.659679+00:00,,90,Abudefduf declivifrons,declivifrons,Abudefduf,0.024550,3.010000,1.000000,34.92,18.00,2.70,standard length,small group,omnivore,zooplanktivore,,genus bodyshape
1e8655bd-3797-4c61-8643-100b47d678a5,2018-04-04 19:04:33.904002+00:00,2018-10-12 15:21:59.678013+00:00,,90,Abudefduf lorenzi,lorenzi,Abudefduf,0.024550,3.010000,1.000000,29.01,18.00,2.68,total length,medium group,omnivore,zooplanktivore,,genus bodyshape
02fc9b6b-4170-4c59-933f-fb02501fec72,2018-04-04 19:04:33.922466+00:00,2018-10-12 15:21:59.696450+00:00,,90,Abudefduf margariteus,margariteus,Abudefduf,0.024550,3.010000,1.000000,32.51,16.00,2.72,standard length,medium group,omnivore,zooplanktivore,,genus bodyshape
